ID,Date,Country,Disease,Update,Month,Year,Cases,Deaths
90,03/02/2012,Cameroon,Yellow fever,No,2,2012,23,7
23,23/11/2012,Uganda,Marburg haemorrhagic fever,Yes,11,2012,20,9
72,12/04/2012,Egypt,Avian,Yes,4,2012,167,60
47,05/09/2012,Congo,Ebola,Yes,9,2012,14,11
92,24/01/2012,China,Avian,Yes,1,2012,0,0
54,17/08/2012,Congo,Ebola,No,8,2012,10,6
28,31/10/2012,Uganda,Marburg haemorrhagic fever,Yes,10,2012,18,0
53,21/08/2012,Congo,Ebola,Yes,8,2012,12,0
78,19/03/2012,Egypt,Avian,Yes,3,2012,164,58
35,08/10/2012,Sierra Leone,Cholera,Yes,10,2012,736,280
89,08/02/2012,Viet Nam,Avian,Yes,2,2012,121,61
69,29/05/2012,Cambodia,Avian,Yes,5,2012,21,19
75,02/04/2012,Egypt,Avian,Yes,4,2012,166,59
44,14/09/2012,Congo,Ebola,Yes,9,2012,41,18
94,19/01/2012,Indonesia,Avian,Yes,1,2012,184,152
66,04/07/2012,Cambodia,,No,7,2012,62,61
71,02/05/2012,Indonesia,Avian,Yes,5,2012,189,157
60,29/07/2012,Uganda,Ebola,No,7,2012,20,14
18,06/12/2012,Sudan,Yellow fever,Yes,12,2012,732,165
29,26/10/2012,Congo,Ebola,Yes,10,2012,52,25
55,17/08/2012,Uganda,Ebola,Yes,8,2012,24,16
24,22/11/2012,Sudan,Yellow fever,Yes,11,2012,116,0
98,16/01/2012,Cambodia,Avian,No,1,2012,19,16
87,22/02/2012,Egypt,Avian,Yes,2,2012,160,55
46,08/09/2012,Sierra Leone,Cholera,Yes,9,2012,360,0
50,30/08/2012,Congo,Ebola,Yes,8,2012,17,0
34,08/10/2012,Congo,Ebola,Yes,10,2012,49,24
57,10/08/2012,Indonesia,Avian,Yes,8,2012,191,0
49,03/09/2012,Uganda,Ebola,Yes,9,2012,24,17
59,03/08/2012,Uganda,Ebola,Yes,8,2012,32,0
27,01/11/2012,Mauritania,Rift Valley fever,No,11,2012,34,17
86,24/02/2012,Egypt,Avian,Yes,2,2012,161,55
209,04/02/2000,Sierra Leone,,No,2,2000,0,0
131,01/11/2000,Uganda,Ebola,Yes,11,2000,251,0
202,08/03/2000,Madagascar,Cholera,Yes,3,2000,665,0
126,05/11/2000,Uganda,Ebola,Yes,11,2000,280,89
192,11/04/2000,France,Meningococcal disease,No,4,2000,50,4
210,28/01/2000,Lesotho,,No,1,2000,862,0
