,Disease,Transmission_Medium,Host_for_Parasite,Pathogens,Host_for_Parasite.1,Source,Vaccination,Maximum_Incubation,cfr,Cases,Death
24,Marburg haemorrhagic fever, contact with surfaces contaminated by infected bats, human,Virus,"bats, human",bats,0,21,inf,423,357
25,Measles,person to person blood bodily fluids,human,Virus,human,human,1,12,0.609375,7449,537
25,Measles, person to person cough sneeze aerosol,human,Virus,human,human,1,12,0.609375,7449,537
26,Meningococcal disease,person to person cough sneeze aerosol,human,Bacteria,human,human,1,10,76.14991482,1000000,20000
27,Microcephaly,mosquito bite,mosquito,Virus,mosquito,zootonic,0,10,1.197227473,3174,38
27,Microcephaly, others,mosquito,Virus,mosquito,zootonic,0,10,1.197227473,3174,38
28,Monkeypox,animal to human,mammals,Virus,mammals,zootonic,0,15,8.860759494,511,7
29,Myocarditis,viral infection,not specific,Virus,not specific,not specific,0,10,23.00884956,113,26
29,Myocarditis,viral infection,not specific, Bacteria,not specific,not specific,0,10,23.00884956,113,26
30,Nipah virus,person to person blood bodily fluids,pigs,Virus,"pigs, livestock",zootonic,0,14,42.5,753,18
30,Nipah virus,person to person blood bodily fluids, livestock,Virus,"pigs, livestock",zootonic,0,14,42.5,753,18
30,Nipah virus, person to person cough sneeze aerosol,pigs,Virus,"pigs, livestock",zootonic,0,14,42.5,753,18
30,Nipah virus, person to person cough sneeze aerosol, livestock,Virus,"pigs, livestock",zootonic,0,14,42.5,753,18
30,Nipah virus, contact with equipment used in patient care,pigs,Virus,"pigs, livestock",zootonic,0,14,42.5,753,18
30,Nipah virus, contact with equipment used in patient care, livestock,Virus,"pigs, livestock",zootonic,0,14,42.5,753,18
31,Plague,person to person cough sneeze aerosol,fleas,Bacteria,"fleas, small mammals",fleas,0,6,41.93548387,7000,202
31,Plague,person to person cough sneeze aerosol, small mammals,Bacteria,"fleas, small mammals",fleas,0,6,41.93548387,7000,202
31,Plague,person to person cough sneeze aerosol,fleas,Bacteria,"fleas, small mammals", small mammals,0,6,41.93548387,7000,202
31,Plague,person to person cough sneeze aerosol, small mammals,Bacteria,"fleas, small mammals", small mammals,0,6,41.93548387,7000,202
31,Plague, bite of infected fleas,fleas,Bacteria,"fleas, small mammals",fleas,0,6,41.93548387,7000,202
31,Plague, bite of infected fleas, small mammals,Bacteria,"fleas, small mammals",fleas,0,6,41.93548387,7000,202
31,Plague, bite of infected fleas,fleas,Bacteria,"fleas, small mammals", small mammals,0,6,41.93548387,7000,202
31,Plague, bite of infected fleas, small mammals,Bacteria,"fleas, small mammals", small mammals,0,6,41.93548387,7000,202
32,Polio,person to person,human,Virus,human,human,1,21,6.202723147,90000,41
33,Rift Valley fever,mosquito bite,mosquito,Virus,mosquito,zootonic,0,6,100.0,20000,300
34,SARS,person to person cough sneeze aerosol,animal,Virus,"animal, livestock",zootonic,0,7,100.0,8221,774
34,SARS,person to person cough sneeze aerosol, livestock,Virus,"animal, livestock",zootonic,0,7,100.0,8221,774
35,Seoul virus,rodent contamination,rodents,Virus,rodents,rodents,0,42,0.181818182,11,2
36,Typhoid fever,person to person cough sneeze aerosol,human,Bacteria,human,zootonic,0,14,19.25287356,910,134
37,Viral haemorrhagic fever,mosquito bite,mosquito,Virus,mosquito,zootonic,0,6,inf,93,63
38,West Nile,mosquito bite,mosquito,Virus,mosquito,zootonic,0,14,21.91069574,963,211
39,Yellow fever,mosquito bite,mosquito,Virus,mosquito,zootonic,0,5,inf,407708,44000
