Country,Disease,Year,outbreak_cluster
Portugal,COVID-19,2020,0
Qatar,MERS-CoV,2014,7
Qatar,MERS-CoV,2015,6
Qatar,MERS-CoV,2016,4
Romania,COVID-19,2020,0
Russia,COVID-19,2020,0
San Marino,COVID-19,2020,0
Saudi Arabia,COVID-19,2020,0
Saudi Arabia,MERS-CoV,2014,17
Saudi Arabia,MERS-CoV,2015,17
Saudi Arabia,MERS-CoV,2016,16
Saudi Arabia,MERS-CoV,2017,12
Saudi Arabia,MERS-CoV,2018,8
Saudi Arabia,MERS-CoV,2019,5
Saudi Arabia,Rift Valley fever,2000,0
Senegal,Cholera,2005,2
Senegal,Yellow fever,2005,2
Senegal,Yellow fever,2011,0
Serbia,COVID-19,2020,0
Sierra Leone,Cholera,2012,1
Sierra Leone,Lassa fever,1996,2
Sierra Leone,Lassa fever,1997,1
Sierra Leone,Yellow fever,2003,2
Singapore,COVID-19,2020,0
Singapore,SARS,2003,0
Slovakia,COVID-19,2020,0
Slovenia,COVID-19,2020,0
Somalia,Cholera,1997,10
Somalia,Cholera,1999,3
Somalia,Cholera,2000,1
Somalia,Cholera,2018,0
South Africa,Cholera,2000,3
South Africa,Cholera,2001,3
South Africa,Cholera,2003,0
South Africa,Ebola,1996,0
South Africa,Rift Valley fever,1999,2
South Africa,Rift Valley fever,2010,1
South Africa,SARS,2003,0
South Korea,COVID-19,2020,0
Spain,COVID-19,2020,0
Spain,Legionellosis,2001,0
Spain,Listeriosis,2019,0
Sri Lanka,Cholera,1998,0
Sri Lanka,Dengue,2017,0
Sudan,COVID-19,2020,0
Sudan,Cholera,2006,4
Sudan,Cholera,2014,1
Sudan,Cholera,2019,0
Sudan,Dengue,2019,0
Sudan,Ebola,2004,0
Sudan,Haemorrhagic fever syndrome,2016,0
Sudan,Hepatitis,2004,0
Sudan,Meningococcal disease,1999,6
Sudan,Meningococcal disease,2000,5
Sudan,Rift Valley fever,2007,3
Sudan,Rift Valley fever,2008,1
Sudan,Rift Valley fever,2019,0
Sudan,Yellow fever,2005,2
Sudan,Yellow fever,2012,1
Sweden,COVID-19,2020,0
Switzerland,COVID-19,2020,0
Taiwan,COVID-19,2020,0
Taiwan,SARS,2003,0
"Taiwan, China",SARS,2003,0
Tajikistan,Polio,2010,1
Tanzania,Cholera,1996,7
Tanzania,Cholera,2015,3
Tanzania,Rift Valley fever,2007,0
Thailand,Avian,2004,7
Thailand,Avian,2005,2
Thailand,Avian,2006,0
Thailand,COVID-19,2020,0
Thailand,Diphtheria,1996,0
Thailand,MERS-CoV,2015,2
Thailand,MERS-CoV,2016,1
Thailand,SARS,2003,0
Togo,Meningococcal disease,2017,0
Tunisia,COVID-19,2020,0
Tunisia,Measles,2019,0
Turkey,Avian,2006,0
Turkey,COVID-19,2020,0
Turkey,MERS-CoV,2014,0
UK,COVID-19,2020,0
US,COVID-19,2020,0
Uganda,Ebola,2000,5
Uganda,Ebola,2001,5
Uganda,Ebola,2007,4
Uganda,Ebola,2012,1
Uganda,Marburg haemorrhagic fever,2012,0
Uganda,Meningococcal disease,2006,1
Uganda,Plague,1998,0
Uganda,Yellow fever,2016,0
Ukraine,COVID-19,2020,0
United Arab Emirates,COVID-19,2020,0
United Arab Emirates,MERS-CoV,2015,10
United Arab Emirates,MERS-CoV,2016,8
United Arab Emirates,MERS-CoV,2018,2
United Arab Emirates,MERS-CoV,2019,1
United Arab Emirates,MERS-CoV,2020,0
United States,Anthrax,2001,0
United States,Elizabethkingia,2016,0
United States,Encephalitis,1999,0
United States,Hantavirus pulmonary syndrome,2012,0
United States,West Nile,2002,0
Venezuela,Yellow fever,2004,1
Viet Nam,Avian,2004,27
Viet Nam,Avian,2005,23
Viet Nam,Avian,2007,14
Viet Nam,Avian,2008,12
Viet Nam,Avian,2009,9
Viet Nam,Avian,2010,4
Viet Nam,Avian,2012,0
Viet Nam,SARS,2003,0
Yemen,Acute haemorrhagic fever syndrome,2000,0
Yemen,Diphtheria,2017,0
Yemen,Rift Valley fever,2000,0
Zambia,Cholera,1999,4
Zambia,Plague,1997,1
Zambia,Plague,2001,0
Zimbabwe,COVID-19,2020,0
Zimbabwe,Cholera,1998,7
Zimbabwe,Cholera,2008,5
Zimbabwe,Cholera,2009,3
Zimbabwe,Cholera,2018,0
