Country,Disease,Year,cfr,Cases,Death
India,Meningococcal disease,2005,0.603293657,6133,37
India,Nipah virus,2018,42.5,753,17
Indonesia,Avian,2005,68.75,300,13
Indonesia,Avian,2006,77.77777778,74,57
Indonesia,Avian,2007,81.03448276,116,94
Indonesia,Avian,2008,81.75182482,139,113
Indonesia,Avian,2009,81.56028369,141,115
Indonesia,Avian,2010,82.94117647,171,141
Indonesia,Avian,2011,82.48587571,182,150
Indonesia,Avian,2012,83.06878307,189,157
Indonesia,COVID-19,2020,8.017492711000001,686,55
Indonesia,Dengue,2004,0.0658,1000000,658
Indonesia,Meningococcal disease,2000,0.222222222,27,6
Iran,COVID-19,2020,7.794929667999999,24811,1934
Iran,MERS-CoV,2015,0.379496403,1112,422
Iraq,Avian,2006,inf,0,2
Iraq,COVID-19,2020,8.544303797000001,316,27
Iraq,Cholera,2007,0.52,6749,14
Iraq,Cholera,2008,1.46627566,341,5
Iraq,Cholera,2015,0.212765957,940,2
Ireland,COVID-19,2020,0.5267118129999999,1329,7
Ireland,Measles,2000,0.0053191490000000004,376,2
Israel,COVID-19,2020,0.155440415,1930,3
Italy,COVID-19,2020,9.858910605,69176,6820
Jamaica,COVID-19,2020,4.7619047619999995,21,1
Jamaica,Dengue,2019,49.1862955,4670,2297
Japan,COVID-19,2020,3.6043587589999997,1193,43
Japan,Encephalitis,1996,0.163212435,772,126
Jordan,MERS-CoV,2015,36.82539683,1594,568
Kazakhstan,COVID-19,2020,4.166666667,72,3
Kenya,Cholera,2017,22.78056951,3967,136
Kenya,Rift Valley fever,1998,100.0,300,300
Kenya,Rift Valley fever,2007,29.44038929,411,121
Kenya,Rift Valley fever,2018,26.92307692,26,7
Korea,MERS-CoV,2015,35.8974359,3000,574
Korea,MERS-CoV,2018,35.48243664,2249,798
Korea,Measles,2001,0.072090213,7449,537
Kuwait,MERS-CoV,2015,0.353503185,1570,555
Lebanon,COVID-19,2020,1.257861635,318,4
Lebanon,Measles,2019,0.000853971,1171,1
Liberia,Cholera,2003,1.171875,1280,15
Liberia,Ebola,2014,100.0,2,2
Liberia,Lassa fever,2016,23.68421053,38,9
Liberia,Lassa fever,2018,50.0,30,15
Liberia,Yellow fever,1996,2.506963788,359,9
Liberia,Yellow fever,2000,10.34482759,29,3
Liberia,Yellow fever,2001,100.0,3,3
Liberia,Yellow fever,2004,20.51282051,39,8
Lithuania,COVID-19,2020,0.9569377990000001,209,2
Luxembourg,COVID-19,2020,0.727934486,1099,8
Madagascar,Influenza,2002,83.04455446,808,671
Madagascar,Measles,2019,0.609375,64,39
Madagascar,Plague,2014,33.61344538,119,40
Madagascar,Plague,2015,2.985074627,335,10
Madagascar,Plague,2017,41.93548387,1791,202
Malawi,Cholera,2002,2.765290832,22023,609
Malaysia,COVID-19,2020,0.985221675,1624,16
Malaysia,Dengue,1996,1.6009852219999998,812,13
Malaysia,Dengue,1997,8.536585366,328,28
Malaysia,Dengue,1998,0.255832992,19544,50
Malaysia,Encephalitis,1999,34.39490446,157,54
Malaysia,MERS-CoV,2018,10.57142857,70,740
Malaysia,Myocarditis,1997,23.00884956,113,26
Malaysia,SARS,2003,25.0,8,2
Mali,Cholera,2003,8.717105262999999,1216,106
Mali,Yellow fever,2005,8.695652174,23,2
Mali,Yellow fever,2019,4.47761194,67,3
Martinique,COVID-19,2020,3.125,32,1
Mauritania,Rift Valley fever,1998,1.5,400,6
Mauritania,Rift Valley fever,2012,50.0,34,17
