Year,Country,Disease,cfr,Cases,Death
2017,Bangladesh,Diphtheria,0.018656716,804,15
2017,Brazil,Yellow fever,20.79207921,1336,215
2017,Canada,Seoul virus,0.181818182,11,2
2017,Chad,Hepatitis,0.577200577,693,4
2017,China,Avian,20.0,304,36
2017,Congo,Ebola,10.0,90,9
2017,Kenya,Cholera,22.78056951,3967,136
2017,Madagascar,Plague,41.93548387,1791,202
2017,Niger,Hepatitis,0.0053191490000000004,188,1
2017,Nigeria,Hepatitis,0.068965517,29,2
2017,Nigeria,Lassa fever,56.73076923,104,59
2017,Nigeria,Monkeypox,1.6393442619999998,61,1
2017,Saudi Arabia,MERS-CoV,34.72823473,2079,722
2017,Sri Lanka,Dengue,0.266313234,80732,215
2017,Togo,Meningococcal disease,0.377952756,127,48
2017,Yemen,Diphtheria,0.07486631,187,14
2018,Algeria,Cholera,0.00921659,217,2
2018,Brazil,Measles,0.00201005,995,2
2018,Brazil,Yellow fever,32.78008299,723,237
2018,Cameroon,Cholera,0.2,1500,3
2018,Congo,Ebola,65.64685315,706,357
2018,India,Nipah virus,42.5,753,17
2018,Kenya,Rift Valley fever,26.92307692,26,7
2018,Korea,MERS-CoV,35.48243664,2249,798
2018,Liberia,Lassa fever,50.0,30,15
2018,Malaysia,MERS-CoV,10.57142857,70,740
2018,Mozambique,Cholera,0.055586437,1799,1
2018,Namibia,Hepatitis,0.016877637,237,4
2018,Niger,Cholera,1.841820152,3692,68
2018,Nigeria,Lassa fever,8.016877637,1422,114
2018,Nigeria,Monkeypox,8.860759494,79,7
2018,Oman,MERS-CoV,34.98134328,2144,750
2018,Saudi Arabia,MERS-CoV,66.0,2262,806
2018,Somalia,Cholera,71.85368878,1613,1159
2018,United Arab Emirates,MERS-CoV,35.65926597,2207,787
2018,Zimbabwe,Cholera,0.585823081,8535,50
2019,Afghanistan,Dengue,7.142857143,14,1
2019,Brazil,Yellow fever,35.10174419,1376,483
2019,Congo,Ebola,65.64685315,3351,2217
2019,France,Dengue,0.181818182,7700,14
2019,Jamaica,Dengue,49.1862955,4670,2297
2019,Lebanon,Measles,0.000853971,1171,1
2019,Madagascar,Measles,0.609375,64,39
2019,Mali,Yellow fever,4.47761194,67,3
2019,Netherlands,Lassa fever,7.692307692000001,182,14
2019,Nigeria,Lassa fever,22.01834862,327,72
2019,Nigeria,Yellow fever,21.31147541,407708,26
2019,Oman,MERS-CoV,34.78998727,2357,820
2019,Pakistan,Dengue,6.525891341,47120,3075
2019,Saudi Arabia,MERS-CoV,66.0,2484,857
2019,Spain,Listeriosis,0.078947368,38,3
2019,Sudan,Cholera,2.877697842,278,8
2019,Sudan,Dengue,0.417710944,1197,5
2019,Sudan,Rift Valley fever,30.78982597,747,230
2019,Tunisia,Measles,0.003649635,274,1
2019,United Arab Emirates,MERS-CoV,34.453441299999994,2470,851
2020,Afghanistan,COVID-19,1.351351351,74,1
2020,Albania,COVID-19,4.06504065,123,5
2020,Algeria,COVID-19,7.196969697,264,19
2020,Andorra,COVID-19,0.609756098,164,1
2020,Argentina,COVID-19,1.5503875969999998,387,6
2020,Australia,COVID-19,0.8557457209999999,818,7
2020,Austria,COVID-19,0.530001893,5283,28
2020,Azerbaijan,COVID-19,1.1494252870000001,87,1
2020,Bahrain,COVID-19,0.765306122,392,3
2020,Bangladesh,COVID-19,10.25641026,39,4
2020,Belgium,COVID-19,2.8578121339999996,4269,122
2020,Bosnia and Herzegovina,COVID-19,1.807228916,166,3
2020,Brazil,COVID-19,2.04717401,2247,46
2020,Bulgaria,COVID-19,1.376146789,218,3
2020,Burkina Faso,COVID-19,3.50877193,114,4
2020,Cabo Verde,COVID-19,33.33333333,3,1
2020,Canada,COVID-19,1.283316881,1013,13
2020,Chile,COVID-19,0.21691974,922,2
2020,China,COVID-19,4.66069822,67801,3160
2020,Colombia,COVID-19,0.793650794,378,3
2020,Congo,Ebola,65.64685315,3432,2253
2020,Congo (Kinshasa),COVID-19,4.444444444,45,2
2020,Costa Rica,COVID-19,1.129943503,177,2
2020,Croatia,COVID-19,0.261780105,382,1
2020,Cuba,COVID-19,2.083333333,48,1
2020,Cyprus,COVID-19,2.419354839,124,3
2020,Czech Republic,COVID-19,0.215208034,1394,3
2020,Denmark,COVID-19,2.011313639,1591,32
2020,Dominican Republic,COVID-19,1.9230769230000002,312,6
2020,Ecuador,COVID-19,2.495378928,1082,27
2020,Egypt,COVID-19,4.975124378,402,20
2020,Finland,COVID-19,0.126262626,792,1
2020,France,COVID-19,4.931850788999999,22304,1100
2020,Gabon,COVID-19,16.66666667,6,1
2020,Gambia,COVID-19,33.33333333,3,1
2020,Germany,COVID-19,0.475959498,32986,157
2020,Ghana,COVID-19,3.7735849060000004,53,2
2020,Greece,COVID-19,2.69179004,743,20
2020,Guatemala,COVID-19,4.7619047619999995,21,1
2020,Guyana,COVID-19,5.0,20,1
2020,Hong Kong,COVID-19,1.03626943,386,4
2020,Hungary,COVID-19,4.812834225,187,9
2020,Iceland,COVID-19,0.771604938,648,5
2020,India,COVID-19,1.865671642,536,10
2020,Indonesia,COVID-19,8.017492711000001,686,55
2020,Iran,COVID-19,7.794929667999999,24811,1934
2020,Iraq,COVID-19,8.544303797000001,316,27
2020,Ireland,COVID-19,0.5267118129999999,1329,7
2020,Israel,COVID-19,0.155440415,1930,3
2020,Italy,COVID-19,9.858910605,69176,6820
2020,Jamaica,COVID-19,4.7619047619999995,21,1
2020,Japan,COVID-19,3.6043587589999997,1193,43
2020,Kazakhstan,COVID-19,4.166666667,72,3
2020,Lebanon,COVID-19,1.257861635,318,4
2020,Lithuania,COVID-19,0.9569377990000001,209,2
2020,Luxembourg,COVID-19,0.727934486,1099,8
2020,Malaysia,COVID-19,0.985221675,1624,16
2020,Martinique,COVID-19,3.125,32,1
2020,Mauritius,COVID-19,4.7619047619999995,42,2
2020,Mexico,COVID-19,1.089918256,367,4
2020,Moldova,COVID-19,0.8,125,1
2020,Montenegro,COVID-19,2.127659574,47,1
2020,Morocco,COVID-19,2.9411764710000003,170,5
2020,Netherlands,COVID-19,4.964028777,5560,276
2020,Nigeria,COVID-19,2.272727273,44,1
2020,North Macedonia,COVID-19,1.351351351,148,2
2020,Norway,COVID-19,0.41914076100000003,2863,12
2020,Others,COVID-19,1.123595506,712,8
2020,Pakistan,COVID-19,0.720164609,972,7
2020,Panama,COVID-19,1.739130435,345,6
2020,Paraguay,COVID-19,7.407407407000001,27,2
2020,Peru,COVID-19,1.682692308,416,7
2020,Philippines,COVID-19,6.34057971,552,35
2020,Poland,COVID-19,1.109877913,901,10
2020,Portugal,COVID-19,1.3971210840000001,2362,33
2020,Romania,COVID-19,1.3853904280000002,794,11
2020,Russia,COVID-19,0.20202020199999998,495,1
2020,San Marino,COVID-19,11.22994652,187,21
2020,Saudi Arabia,COVID-19,0.130378096,767,1
2020,Serbia,COVID-19,0.99009901,303,3
2020,Singapore,COVID-19,0.358422939,558,2
2020,Slovakia,COVID-19,0.490196078,204,1
2020,Slovenia,COVID-19,0.833333333,480,4
2020,South Korea,COVID-19,1.327874295,9037,120
2020,Spain,COVID-19,7.040240692,39885,2808
2020,Sudan,COVID-19,33.33333333,3,1
2020,Sweden,COVID-19,1.57480315,2286,36
2020,Switzerland,COVID-19,1.235192872,9877,122
2020,Taiwan,COVID-19,0.9302325579999999,215,2
2020,Thailand,COVID-19,0.48367593700000006,827,4
2020,Tunisia,COVID-19,3.50877193,114,4
2020,Turkey,COVID-19,2.35042735,1872,44
2020,UK,COVID-19,5.224712146,8077,422
2020,US,COVID-19,0.8177251659999999,25681,210
2020,Ukraine,COVID-19,3.092783505,97,3
2020,United Arab Emirates,COVID-19,0.806451613,248,2
2020,United Arab Emirates,MERS-CoV,34.39744613,2506,862
2020,Zimbabwe,COVID-19,33.33333333,3,1
